"gene","experiment"
"PIK3R3","L500_2"
"PIK3R4","L500_2"
"PIN1","L500_2"
"PIP4K2B","L500_2"
"PKIG","L500_2"
"PLA2G15","L500_2"
"PLA2G4A","L500_2"
"PLCB3","L500_2"
"PLEKHJ1","L500_2"
"PLEKHM1","L500_2"
"PLK1","L500_2"
"PLOD3","L500_2"
"PLP2","L500_2"
"PLS1","L500_2"
"PLSCR1","L500_2"
"PLSCR3","L500_2"
"PMAIP1","L500_2"
"PMM2","L500_2"
"PNKP","L500_2"
"PNP","L500_2"
"POLB","L500_2"
"POLD4","L500_2"
"POLE2","L500_2"
"POLG2","L500_2"
"POLR1C","L500_2"
"POLR2I","L500_2"
"POLR2K","L500_2"
"POP4","L500_2"
"PPARD","L500_2"
"PPARG","L500_2"
"PPIC","L500_2"
"PPIE","L500_2"
"PPOX","L500_2"
"PPP1R13B","L500_2"
"PPP2R3C","L500_2"
"PPP2R5A","L500_2"
"PPP2R5E","L500_2"
"PRAF2","L500_2"
"PRCP","L500_2"
"PRKACA","L500_2"
"PRKAG2","L500_2"
"PRKCD","L500_2"
"PRKCH","L500_2"
"PRKCQ","L500_2"
"PRKX","L500_2"
"PROS1","L500_2"
"PRPF4","L500_2"
"PRR15L","L500_2"
"PRR7","L500_2"
"PRSS23","L500_2"
"PRUNE1","L500_2"
"PSIP1","L500_2"
"PSMB10","L500_2"
"PSMB8","L500_2"
"PSMD10","L500_2"
"PSMD2","L500_2"
"PSMD4","L500_2"
"PSMD9","L500_2"
"PSME1","L500_2"
"PSME2","L500_2"
"PSMF1","L500_2"
"PSMG1","L500_2"
"PSRC1","L500_2"
"PTGS2","L500_2"
"PTK2","L500_2"
"PTK2B","L500_2"
"PTPN1","L500_2"
"PTPN12","L500_2"
"PTPN6","L500_2"
"PTPRC","L500_2"
"PTPRF","L500_2"
"PTPRK","L500_2"
"PUF60","L500_2"
"PWP1","L500_2"
"PXMP2","L500_2"
"PXN","L500_2"
"PYCR1","L500_2"
"PYGL","L500_2"
"RAB11FIP2","L500_2"
"RAB21","L500_2"
"RAB27A","L500_2"
"RAB31","L500_2"
"RAB4A","L500_2"
"RAC2","L500_2"
"RAD51C","L500_2"
"RAD9A","L500_2"
"RAE1","L500_2"
"RAI14","L500_2"
"RALA","L500_2"
"RALB","L500_2"
"RALGDS","L500_2"
"RAP1GAP","L500_2"
"RASA1","L500_2"
"RB1","L500_2"
"RBKS","L500_2"
"RBM15B","L500_2"
"RBM34","L500_2"
"RBM6","L500_2"
"REEP5","L500_2"
"RELB","L500_2"
"RFC2","L500_2"
"RFC5","L500_2"
"RFNG","L500_2"
"RFX5","L500_2"
"RGS2","L500_2"
"RHEB","L500_2"
"RHOA","L500_2"
"RNF167","L500_2"
"RNH1","L500_2"
"RNMT","L500_2"
"RNPS1","L500_2"
"RPA1","L500_2"
"RPA2","L500_2"
"RPA3","L500_2"
"RPIA","L500_2"
"RPL39L","L500_2"
"RPN1","L500_2"
"RPP38","L500_2"
"RPS5","L500_2"
"RPS6","L500_2"
"RPS6KA1","L500_2"
"RRAGA","L500_2"
"RRP12","L500_2"
"RRP1B","L500_2"
"RRP8","L500_2"
"RRS1","L500_2"
"RSU1","L500_2"
"RTN2","L500_2"
"RUVBL1","L500_2"
"RXYLT1","L500_2"
"S100A13","L500_2"
"S100A4","L500_2"
"SACM1L","L500_2"
"SATB1","L500_2"
"SCAND1","L500_2"
